row,col,lon,lat,elevation_m
0,0,-57.045000,-25.595000,323.00
0,1,-57.044722,-25.595000,324.00
0,2,-57.044444,-25.595000,327.00
0,3,-57.044167,-25.595000,324.00
0,4,-57.043889,-25.595000,324.00
0,5,-57.043611,-25.595000,324.00
0,6,-57.043333,-25.595000,323.00
0,7,-57.043056,-25.595000,323.00
0,8,-57.042778,-25.595000,323.00
0,9,-57.042500,-25.595000,321.00
0,10,-57.042222,-25.595000,323.00
0,11,-57.041944,-25.595000,323.00
0,12,-57.041667,-25.595000,322.00
0,13,-57.041389,-25.595000,321.00
0,14,-57.041111,-25.595000,320.00
0,15,-57.040833,-25.595000,320.00
0,16,-57.040556,-25.595000,319.00
0,17,-57.040278,-25.595000,319.00
0,18,-57.040000,-25.595000,318.00
0,19,-57.039722,-25.595000,318.00
0,20,-57.039444,-25.595000,317.00
0,21,-57.039167,-25.595000,317.00
0,22,-57.038889,-25.595000,317.00
0,23,-57.038611,-25.595000,315.00
0,24,-57.038333,-25.595000,315.00
0,25,-57.038056,-25.595000,315.00
0,26,-57.037778,-25.595000,314.00
0,27,-57.037500,-25.595000,314.00
0,28,-57.037222,-25.595000,313.00
0,29,-57.036944,-25.595000,312.00
0,30,-57.036667,-25.595000,311.00
0,31,-57.036389,-25.595000,311.00
0,32,-57.036111,-25.595000,311.00
0,33,-57.035833,-25.595000,311.00
0,34,-57.035556,-25.595000,309.00
0,35,-57.035278,-25.595000,308.00
0,36,-57.035000,-25.595000,308.00
0,37,-57.034722,-25.595000,308.00
0,38,-57.034444,-25.595000,308.00
0,39,-57.034167,-25.595000,307.00
0,40,-57.033889,-25.595000,310.00
0,41,-57.033611,-25.595000,306.00
0,42,-57.033333,-25.595000,303.00
0,43,-57.033056,-25.595000,304.00
0,44,-57.032778,-25.595000,307.00
0,45,-57.032500,-25.595000,308.00
0,46,-57.032222,-25.595000,309.00
0,47,-57.031944,-25.595000,311.00
0,48,-57.031667,-25.595000,310.00
0,49,-57.031389,-25.595000,310.00
0,50,-57.031111,-25.595000,311.00
0,51,-57.030833,-25.595000,312.00
0,52,-57.030556,-25.595000,314.00
0,53,-57.030278,-25.595000,314.00
0,54,-57.030000,-25.595000,314.00
0,55,-57.029722,-25.595000,313.00
0,56,-57.029444,-25.595000,313.00
0,57,-57.029167,-25.595000,314.00
0,58,-57.028889,-25.595000,315.00
0,59,-57.028611,-25.595000,314.00
0,60,-57.028333,-25.595000,313.00
0,61,-57.028056,-25.595000,313.00
0,62,-57.027778,-25.595000,312.00
0,63,-57.027500,-25.595000,310.00
0,64,-57.027222,-25.595000,311.00
0,65,-57.026944,-25.595000,313.00
0,66,-57.026667,-25.595000,310.00
0,67,-57.026389,-25.595000,307.00
0,68,-57.026111,-25.595000,307.00
0,69,-57.025833,-25.595000,306.00
0,70,-57.025556,-25.595000,304.00
0,71,-57.025278,-25.595000,303.00
0,72,-57.025000,-25.595000,303.00
0,73,-57.024722,-25.595000,303.00
0,74,-57.024444,-25.595000,303.00
0,75,-57.024167,-25.595000,301.00
0,76,-57.023889,-25.595000,302.00
0,77,-57.023611,-25.595000,301.00
0,78,-57.023333,-25.595000,301.00
0,79,-57.023056,-25.595000,300.00
0,80,-57.022778,-25.595000,300.00
0,81,-57.022500,-25.595000,300.00
0,82,-57.022222,-25.595000,299.00
0,83,-57.021944,-25.595000,297.00
0,84,-57.021667,-25.595000,297.00
0,85,-57.021389,-25.595000,298.00
0,86,-57.021111,-25.595000,295.00
0,87,-57.020833,-25.595000,293.00
0,88,-57.020556,-25.595000,294.00
0,89,-57.020278,-25.595000,294.00
0,90,-57.020000,-25.595000,295.00
0,91,-57.019722,-25.595000,292.00
0,92,-57.019444,-25.595000,294.00
0,93,-57.019167,-25.595000,293.00
0,94,-57.018889,-25.595000,290.00
0,95,-57.018611,-25.595000,289.00
0,96,-57.018333,-25.595000,287.00
0,97,-57.018056,-25.595000,284.00
0,98,-57.017778,-25.595000,282.00
0,99,-57.017500,-25.595000,284.00
0,100,-57.017222,-25.595000,282.00
0,101,-57.016944,-25.595000,282.00
0,102,-57.016667,-25.595000,283.00
0,103,-57.016389,-25.595000,283.00
0,104,-57.016111,-25.595000,284.00
0,105,-57.015833,-25.595000,285.00
0,106,-57.015556,-25.595000,288.00
0,107,-57.015278,-25.595000,289.00
1,0,-57.045000,-25.595278,326.00
1,1,-57.044722,-25.595278,329.00
1,2,-57.044444,-25.595278,329.00
1,3,-57.044167,-25.595278,326.00
1,4,-57.043889,-25.595278,327.00
1,5,-57.043611,-25.595278,327.00
1,6,-57.043333,-25.595278,326.00
1,7,-57.043056,-25.595278,325.00
1,8,-57.042778,-25.595278,325.00
1,9,-57.042500,-25.595278,325.00
1,10,-57.042222,-25.595278,324.00
1,11,-57.041944,-25.595278,324.00
1,12,-57.041667,-25.595278,324.00
1,13,-57.041389,-25.595278,323.00
1,14,-57.041111,-25.595278,322.00
1,15,-57.040833,-25.595278,323.00
1,16,-57.040556,-25.595278,321.00
1,17,-57.040278,-25.595278,321.00
1,18,-57.040000,-25.595278,320.00
1,19,-57.039722,-25.595278,321.00
1,20,-57.039444,-25.595278,319.00
1,21,-57.039167,-25.595278,319.00
1,22,-57.038889,-25.595278,318.00
1,23,-57.038611,-25.595278,317.00
1,24,-57.038333,-25.595278,317.00
1,25,-57.038056,-25.595278,316.00
1,26,-57.037778,-25.595278,316.00
1,27,-57.037500,-25.595278,315.00
1,28,-57.037222,-25.595278,315.00
1,29,-57.036944,-25.595278,313.00
1,30,-57.036667,-25.595278,313.00
1,31,-57.036389,-25.595278,313.00
1,32,-57.036111,-25.595278,311.00
1,33,-57.035833,-25.595278,311.00
1,34,-57.035556,-25.595278,310.00
1,35,-57.035278,-25.595278,310.00
1,36,-57.035000,-25.595278,310.00
1,37,-57.034722,-25.595278,309.00
1,38,-57.034444,-25.595278,308.00
1,39,-57.034167,-25.595278,308.00
1,40,-57.033889,-25.595278,308.00
1,41,-57.033611,-25.595278,307.00
1,42,-57.033333,-25.595278,305.00
1,43,-57.033056,-25.595278,307.00
1,44,-57.032778,-25.595278,308.00
1,45,-57.032500,-25.595278,310.00
1,46,-57.032222,-25.595278,311.00
1,47,-57.031944,-25.595278,312.00
1,48,-57.031667,-25.595278,312.00
1,49,-57.031389,-25.595278,312.00
1,50,-57.031111,-25.595278,313.00
1,51,-57.030833,-25.595278,315.00
1,52,-57.030556,-25.595278,315.00
1,53,-57.030278,-25.595278,317.00
1,54,-57.030000,-25.595278,316.00
1,55,-57.029722,-25.595278,314.00
1,56,-57.029444,-25.595278,316.00
1,57,-57.029167,-25.595278,317.00
1,58,-57.028889,-25.595278,316.00
1,59,-57.028611,-25.595278,316.00
1,60,-57.028333,-25.595278,315.00
1,61,-57.028056,-25.595278,315.00
1,62,-57.027778,-25.595278,314.00
1,63,-57.027500,-25.595278,312.00
1,64,-57.027222,-25.595278,313.00
1,65,-57.026944,-25.595278,314.00
1,66,-57.026667,-25.595278,310.00
1,67,-57.026389,-25.595278,309.00
1,68,-57.026111,-25.595278,309.00
1,69,-57.025833,-25.595278,306.00
1,70,-57.025556,-25.595278,306.00
1,71,-57.025278,-25.595278,306.00
1,72,-57.025000,-25.595278,304.00
1,73,-57.024722,-25.595278,305.00
1,74,-57.024444,-25.595278,303.00
1,75,-57.024167,-25.595278,302.00
1,76,-57.023889,-25.595278,303.00
1,77,-57.023611,-25.595278,303.00
1,78,-57.023333,-25.595278,302.00
1,79,-57.023056,-25.595278,302.00
1,80,-57.022778,-25.595278,303.00
1,81,-57.022500,-25.595278,302.00
1,82,-57.022222,-25.595278,301.00
1,83,-57.021944,-25.595278,298.00
1,84,-57.021667,-25.595278,299.00
1,85,-57.021389,-25.595278,300.00
1,86,-57.021111,-25.595278,297.00
1,87,-57.020833,-25.595278,295.00
1,88,-57.020556,-25.595278,296.00
1,89,-57.020278,-25.595278,296.00
1,90,-57.020000,-25.595278,297.00
1,91,-57.019722,-25.595278,293.00
1,92,-57.019444,-25.595278,294.00
1,93,-57.019167,-25.595278,293.00
1,94,-57.018889,-25.595278,291.00
1,95,-57.018611,-25.595278,289.00
1,96,-57.018333,-25.595278,287.00
1,97,-57.018056,-25.595278,283.00
1,98,-57.017778,-25.595278,284.00
1,99,-57.017500,-25.595278,286.00
1,100,-57.017222,-25.595278,285.00
1,101,-57.016944,-25.595278,286.00
1,102,-57.016667,-25.595278,285.00
1,103,-57.016389,-25.595278,285.00
1,104,-57.016111,-25.595278,285.00
1,105,-57.015833,-25.595278,286.00
1,106,-57.015556,-25.595278,290.00
1,107,-57.015278,-25.595278,292.00
2,0,-57.045000,-25.595556,328.00
2,1,-57.044722,-25.595556,331.00
2,2,-57.044444,-25.595556,330.00
2,3,-57.044167,-25.595556,329.00
2,4,-57.043889,-25.595556,329.00
2,5,-57.043611,-25.595556,328.00
2,6,-57.043333,-25.595556,328.00
2,7,-57.043056,-25.595556,327.00
2,8,-57.042778,-25.595556,327.00
2,9,-57.042500,-25.595556,327.00
2,10,-57.042222,-25.595556,325.00
2,11,-57.041944,-25.595556,325.00
2,12,-57.041667,-25.595556,324.00
2,13,-57.041389,-25.595556,324.00
2,14,-57.041111,-25.595556,324.00
2,15,-57.040833,-25.595556,324.00
2,16,-57.040556,-25.595556,323.00
2,17,-57.040278,-25.595556,323.00
2,18,-57.040000,-25.595556,322.00
2,19,-57.039722,-25.595556,322.00
2,20,-57.039444,-25.595556,320.00
2,21,-57.039167,-25.595556,321.00
2,22,-57.038889,-25.595556,320.00
2,23,-57.038611,-25.595556,319.00
2,24,-57.038333,-25.595556,319.00
2,25,-57.038056,-25.595556,318.00
2,26,-57.037778,-25.595556,317.00
2,27,-57.037500,-25.595556,316.00
2,28,-57.037222,-25.595556,316.00
2,29,-57.036944,-25.595556,315.00
2,30,-57.036667,-25.595556,315.00
2,31,-57.036389,-25.595556,314.00
2,32,-57.036111,-25.595556,313.00
2,33,-57.035833,-25.595556,312.00
2,34,-57.035556,-25.595556,312.00
2,35,-57.035278,-25.595556,311.00
2,36,-57.035000,-25.595556,310.00
2,37,-57.034722,-25.595556,310.00
2,38,-57.034444,-25.595556,309.00
2,39,-57.034167,-25.595556,308.00
2,40,-57.033889,-25.595556,309.00
2,41,-57.033611,-25.595556,310.00
2,42,-57.033333,-25.595556,306.00
2,43,-57.033056,-25.595556,309.00
2,44,-57.032778,-25.595556,310.00
2,45,-57.032500,-25.595556,310.00
2,46,-57.032222,-25.595556,312.00
2,47,-57.031944,-25.595556,313.00
2,48,-57.031667,-25.595556,314.00
2,49,-57.031389,-25.595556,314.00
2,50,-57.031111,-25.595556,315.00
2,51,-57.030833,-25.595556,317.00
2,52,-57.030556,-25.595556,317.00
2,53,-57.030278,-25.595556,318.00
2,54,-57.030000,-25.595556,318.00
2,55,-57.029722,-25.595556,318.00
2,56,-57.029444,-25.595556,318.00
2,57,-57.029167,-25.595556,318.00
2,58,-57.028889,-25.595556,316.00
2,59,-57.028611,-25.595556,317.00
2,60,-57.028333,-25.595556,315.00
2,61,-57.028056,-25.595556,314.00
2,62,-57.027778,-25.595556,315.00
2,63,-57.027500,-25.595556,315.00
2,64,-57.027222,-25.595556,314.00
2,65,-57.026944,-25.595556,315.00
2,66,-57.026667,-25.595556,312.00
2,67,-57.026389,-25.595556,310.00
2,68,-57.026111,-25.595556,310.00
2,69,-57.025833,-25.595556,308.00
2,70,-57.025556,-25.595556,306.00
2,71,-57.025278,-25.595556,307.00
2,72,-57.025000,-25.595556,306.00
2,73,-57.024722,-25.595556,305.00
2,74,-57.024444,-25.595556,303.00
2,75,-57.024167,-25.595556,303.00
2,76,-57.023889,-25.595556,303.00
2,77,-57.023611,-25.595556,305.00
2,78,-57.023333,-25.595556,304.00
2,79,-57.023056,-25.595556,305.00
2,80,-57.022778,-25.595556,304.00
2,81,-57.022500,-25.595556,305.00
2,82,-57.022222,-25.595556,302.00
2,83,-57.021944,-25.595556,300.00
2,84,-57.021667,-25.595556,300.00
2,85,-57.021389,-25.595556,300.00
2,86,-57.021111,-25.595556,298.00
