binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Balfourodendron riedelianum,Rutaceae,Balfourodendron riedelianum (Engl.) Engl.,tree,confirmed,224,NA,84.74,widespread,Not endemic,159,18,en_peligro,,,timber,yes,yes,iNat,1,marfim,,7
Cordia trichotoma,Boraginaceae,Cordia trichotoma (Vell.) Arrab. ex Steud.,tree,confirmed,559,NA,43.57,widespread,Not endemic,223,192,en_peligro,Indeterminada (maybe LC),,timber,yes,yes,iNat,1,,,7
Ateleia glazioveana,Fabaceae,Ateleia glazioveana Baill.,tree,confirmed,78,NA,98.31,near_endemic,Endemic,62,1,en_peligro,,,timber,yes,,,,,,7
Copaifera langsdorffii,Fabaceae,Copaifera langsdorffii Desf.,tree,confirmed,944,NA,34.2,widespread,Not endemic,209,406,,Endangered,,fuel | medicinal | poison | resins_gums | timber,yes,yes,GBIF|iNat,39,Brazilian diesel tree,,6
Parapiptadenia rigida,Fabaceae,Parapiptadenia rigida (Benth.) Brenan,tree,confirmed,521,NA,66.83,widespread,Endemic,296,102,,,,timber,yes,yes,GBIF,34,Anchico,,6
Nectandra megapotamica,Lauraceae,Nectandra megapotamica (Spreng.) Mez,tree,confirmed,1548,NA,77.69,widespread,Not endemic,944,223,,,,timber,yes,yes,GBIF,28,canela,,6
Peltophorum dubium,Fabaceae,Peltophorum dubium (Spreng.) Taub.,tree,new to AF,1339,NA,56.05,widespread,Not in the AF,561,277,,,,timber,yes,yes,GBIF|iNat,26,caña fístola,,6
Myrcianthes pungens,Myrtaceae,Myrcianthes pungens (O.Berg) D.Legrand,tree,confirmed,176,NA,48.23,widespread,Not endemic,59,65,,,,timber,yes,yes,GBIF|iNat,20,guaviyú,,6
Ocotea puberula,Lauraceae,Ocotea puberula (Rich.) Nees,tree,confirmed,1468,NA,76.57,widespread,Not endemic,934,256,,,,timber,yes,yes,GBIF,18,Laurel Guaica,,6
Anadenanthera colubrina,Fabaceae,Anadenanthera colubrina (Vell.) Brenan,tree,confirmed,1804,NA,27.77,widespread,Not endemic,371,950,,,,timber,yes,yes,iNat,2,Red Angico,,6
Pterogyne nitens,Fabaceae,Pterogyne nitens Tul.,tree,confirmed,298,NA,39.56,widespread,Not endemic,82,129,,,,fuel | ornamental | timber,yes,yes,iNat,2,,,6
Handroanthus impetiginosus,Bignoniaceae,Handroanthus impetiginosus (Mart. ex DC.) Mattos,tree,confirmed,501,cultivated,16.34,widespread,Not endemic,72,286,,,,medicinal | ornamental | timber,yes,yes,iNat,1,pink ipê,,6
Psychotria leiocarpa,Rubiaceae,Psychotria leiocarpa Cham. & Schltdl.,shrub,confirmed,1095,NA,93.53,near_endemic,Not endemic,816,44,,,,,,yes,iNat,1,,,6
Araucaria angustifolia,Araucariaceae,Araucaria angustifolia (Bertol.) Kuntze,tree,confirmed,519,cultivated,100.0,pure_endemic,Endemic,386,34,en_peligro,Endangered,,food | medicinal | ornamental | timber,yes,,,,,,6
Trichilia catigua,Meliaceae,Trichilia catigua A.Juss.,tree,confirmed,691,NA,54.27,widespread,Not endemic,375,141,,,,medicinal,,yes,GBIF,61,Catiguá,,5
Luehea divaricata,Malvaceae,Luehea divaricata Mart. & Zucc.,tree,confirmed,592,NA,60.56,widespread,Not endemic,282,151,,,,timber,yes,yes,GBIF|iNat,31,Azota caballos,,5
Eugenia uniflora,Myrtaceae,Eugenia uniflora L.,tree,confirmed,872,cultivated,74.25,widespread,Not endemic,518,155,,,,food | medicinal,,yes,GBIF|iNat,28,cerezo de Cayena,,5
Protium heptaphyllum,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,tree,confirmed,1942,NA,23.13,widespread,Not endemic,402,1160,,,,timber,yes,yes,GBIF,28,Caraño,,5
Casearia gossypiosperma,Salicaceae,Casearia gossypiosperma Briq.,tree,confirmed,214,NA,34.51,widespread,Not endemic,82,79,,,,timber,yes,yes,GBIF,27,Cambroé,,5
Cordia americana,Boraginaceae,Cordia americana (L.) Gottschling & J.S.Mill.,tree,confirmed,152,NA,33.93,widespread,Endemic,60,50,,,,timber,yes,yes,GBIF,27,guayaibí,,5
Psidium guineense,Myrtaceae,Psidium guineense Sw.,tree,confirmed,1483,NA,44.81,widespread,Not endemic,468,621,,,,food,,yes,GBIF,24,Allpa guayaba,,5
Eugenia pyriformis,Myrtaceae,Eugenia pyriformis Cambess.,tree,confirmed,698,NA,71.79,widespread,Not endemic,402,131,,,,food,,yes,GBIF,23,perita costeña,,5
Alchornea triplinervia,Euphorbiaceae,Alchornea triplinervia (Spreng.) Mull.Arg.,tree,confirmed,958,NA,54.99,widespread,Not endemic,451,221,,,,timber,yes,yes,GBIF,21,Gakamenewe,,5
Maytenus ilicifolia,,Maytenus ilicifolia,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,yes,iNat,3,,,5
Syagrus romanzoffiana,Arecaceae,Syagrus romanzoffiana (Cham.) Glassman,tree,confirmed,142,cultivated,63.12,widespread,Not endemic,67,31,,,,fodder | food | ornamental,,yes,iNat,2,Queen palm,,5
Baccharis trimera,,Baccharis trimera,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,yes,iNat,1,,,5
Ceiba speciosa,Malvaceae,Ceiba speciosa (A.St.-Hil.) Ravenna,tree,confirmed,208,cultivated,59.24,widespread,Not endemic,99,63,,,,essential_oils | fibres | medicinal | ornamental | timber,yes,yes,iNat,1,Silk floss tree,,5
Parodia nigrispina,,Parodia nigrispina,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,yes,iNat,1,,,5
Sapium haematospermum,Euphorbiaceae,Sapium haematospermum Mull.Arg.,tree,confirmed,216,NA,40.83,widespread,Not endemic,39,93,,,,timber,yes,yes,iNat,1,,,5
Zanthoxylum rhoifolium,Rutaceae,Zanthoxylum rhoifolium Lam.,tree,confirmed,1697,NA,49.8,widespread,Not endemic,649,584,,,,timber,yes,yes,iNat,1,Tambataru,,5
Amburana cearensis,Fabaceae,Amburana cearensis (Allemao) A.C.Sm.,tree,confirmed,207,NA,16.67,widespread,Not endemic,22,129,en_peligro,,,timber,yes,,,,,,5
Apuleia leiocarpa,Fabaceae,Apuleia leiocarpa (Vogel) J.F.Macbr.,tree,confirmed,580,NA,52.68,widespread,Not endemic,240,210,amenazada,,,timber,yes,,,,,,5
Arapatiella psilophylla,Fabaceae,Arapatiella psilophylla (Harms) R.S.Cowan,tree,confirmed,87,NA,100.0,pure_endemic,Endemic,75,0,,,,timber,yes,,,,,,5
Cedrela angustifolia,Meliaceae,Cedrela angustifolia Sesse & Moc. ex DC.,tree,new to AF,16,NA,33.33,widespread,NA,3,4,en_peligro,Indeterminada,,timber,yes,,,,,,5
Cedrela fissilis,Meliaceae,Cedrela fissilis Vell.,tree,confirmed,449,NA,42.49,widespread,Not endemic,176,156,en_peligro,,,timber,yes,,,,,,5
Centrolobium robustum,Fabaceae,Centrolobium robustum (Vell.) Mart. ex Benth.,tree,confirmed,44,NA,94.29,near_endemic,Endemic,34,3,,,,timber,yes,,,,,,5
Dalbergia nigra,Fabaceae,Dalbergia nigra (Vell.) Allemao ex Benth.,tree,confirmed,230,NA,91.44,near_endemic,Endemic,180,13,,,,timber,yes,,,,,,5
Euterpe edulis,Arecaceae,Euterpe edulis Mart.,tree,confirmed,142,NA,86.26,widespread,Not endemic,115,14,en_peligro,Endangered,,food,yes,,,,,,5
Melanoxylon brauna,Fabaceae,Melanoxylon brauna Schott,tree,confirmed,121,NA,92.18,near_endemic,Not endemic,85,4,,,,timber,yes,,,,,,5
Mezilaurus navalium,Lauraceae,Mezilaurus navalium (Allemao) Taub. ex Mez,tree,confirmed,19,NA,100.0,pure_endemic,Endemic,12,0,,,,timber,yes,,,,,,5
Mimosa scabrella,Fabaceae,Mimosa scabrella Benth.,tree,confirmed,380,NA,96.02,near_endemic,Endemic,312,6,,,,fences | fibres | fuel | medicinal | ornamental | timber,yes,,,,,,5
Myrocarpus fastigiatus,Fabaceae,Myrocarpus fastigiatus Allemao,tree,confirmed,53,NA,93.67,near_endemic,Not endemic,36,4,,,,timber,yes,,,,,,5
Myrocarpus frondosus,Fabaceae,Myrocarpus frondosus Allemao,tree,confirmed,212,NA,91.51,near_endemic,Endemic,160,22,,Endangered (maybe Vulnerable),,timber,yes,,,,,,5
Myroxylon peruiferum,Fabaceae,Myroxylon peruiferum L.f.,tree,confirmed,158,NA,63.82,widespread,Not endemic,75,40,en_peligro,Vulnerable,,timber,yes,,,,,,5
Ocotea porosa,Lauraceae,Ocotea porosa (Nees & Mart.) Barroso,tree,confirmed,366,NA,97.86,near_endemic,Endemic,320,2,,,,timber,yes,,,,,,5
Paratecoma peroba,Bignoniaceae,Paratecoma peroba (Record) Kuhlm.,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,8,0,,,,timber,yes,,,,,,5
Paubrasilia echinata,Fabaceae,"Paubrasilia echinata (Lam.) E. Gagnon, H.C. Lima & G.P. Lewis",tree,confirmed,787,NA,92.66,near_endemic,Endemic,509,80,,,,timber,yes,,,,,,5
Piptadenia paniculata,Fabaceae,Piptadenia paniculata Benth.,tree,confirmed,206,NA,99.04,near_endemic,Not endemic,177,2,,,,timber,yes,,,,,,5
Simira sampaioana,Rubiaceae,Simira sampaioana (Standl.) Steyerm.,tree,confirmed,52,NA,94.81,near_endemic,Not endemic,41,4,en_peligro,,,,,,,,,,5
Tachigali pilgeriana,Fabaceae,Tachigali pilgeriana (Harms) Oliveira-Filho,tree,confirmed,33,NA,100.0,pure_endemic,Endemic,28,0,,,,timber,yes,,,,,,5
Vataireopsis araroba,Fabaceae,Vataireopsis araroba (Aguiar) Ducke,tree,confirmed,64,NA,100.0,pure_endemic,Endemic,51,0,,,,timber,yes,,,,,,5
Zeyheria tuberculosa,Bignoniaceae,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,tree,confirmed,110,NA,52.08,widespread,Not endemic,39,37,en_peligro,,,timber,yes,,,,,,5
Trichilia pallida,Meliaceae,Trichilia pallida Sw.,tree,confirmed,1745,NA,17.45,widespread,Not endemic,391,903,,,,,,yes,GBIF|iNat,55,Chanchuwi,,4
Chrysophyllum marginatum,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,tree,confirmed,597,NA,31.01,widespread,Not endemic,175,228,,,,,,yes,GBIF|iNat,51,Vasuriña,,4
Trichilia elegans,Meliaceae,Trichilia elegans A.Juss.,tree,confirmed,1259,NA,50.36,widespread,Not endemic,670,341,,,,,,yes,GBIF,43,Catigua blanca,,4
Psychotria carthagenensis,Rubiaceae,Psychotria carthagenensis Jacq.,tree,confirmed,2924,NA,38.11,widespread,Not endemic,885,1272,,,,,,yes,GBIF,42,Jazmín de la costa,,4
Annona emarginata,Annonaceae,Annona emarginata (Schltdl.) H.Rainer,tree,confirmed,888,NA,52.87,widespread,Not endemic,344,274,,,,,,yes,GBIF|iNat,40,Araticú,,4
Myrcia laruotteana,Myrtaceae,Myrcia laruotteana Cambess.,tree,confirmed,902,NA,61.97,widespread,Not endemic,422,223,,,,,,yes,GBIF,39,,,4
Casearia sylvestris,Salicaceae,Casearia sylvestris Sw.,tree,confirmed,3096,NA,49.73,widespread,Not endemic,1209,1223,,,,medicinal,,yes,GBIF,35,Burro caá,,4
Ocotea diospyrifolia,Lauraceae,Ocotea diospyrifolia (Meisn.) Mez,tree,confirmed,699,NA,60.48,widespread,Not endemic,320,201,,,,,,yes,GBIF,35,Laurel Negro,,4
Guarea macrophylla,Meliaceae,Guarea macrophylla Vahl,tree,confirmed,1984,NA,33.14,widespread,Not endemic,695,793,,,,,,yes,GBIF,33,Amonkaweye,,4
Eugenia myrcianthes,Myrtaceae,Eugenia myrcianthes Nied.,tree,confirmed,319,NA,39.89,widespread,Not endemic,81,96,,,,,,yes,GBIF|iNat,26,Ubajay,,4
Randia armata,Rubiaceae,Randia armata (Sw.) DC.,tree,confirmed,1268,NA,28.75,widespread,Not endemic,313,667,,,,,,yes,GBIF,23,Chanlla kaspi,,4
Plinia rivularis,Myrtaceae,Plinia rivularis (Cambess.) Rotman,tree,confirmed,335,NA,78.65,widespread,Not endemic,204,53,,,,,,yes,GBIF,21,Ibaporoití,,4
Eugenia repanda,Myrtaceae,Eugenia repanda O.Berg,tree,confirmed,264,NA,67.29,widespread,Endemic,142,65,,,,,,yes,GBIF,20,Arrayán negro,,4
Eugenia hiemalis,Myrtaceae,Eugenia hiemalis Cambess.,tree,confirmed,869,NA,60.68,widespread,Not endemic,401,214,,,,,,yes,GBIF,19,Guamirim-aperta-cu,,4
Eugenia punicifolia,Myrtaceae,Eugenia punicifolia (Kunth) DC.,shrub,confirmed,3441,NA,37.62,widespread,Not endemic,852,1459,,,,,,yes,GBIF,18,Murta,,4
Plinia cauliflora,Myrtaceae,Plinia cauliflora (Mart.) Kausel,tree,confirmed,102,NA,59.29,widespread,Endemic,54,30,,,,,,yes,iNat,4,Jaboticaba,,4
Cybistax antisyphilitica,Bignoniaceae,Cybistax antisyphilitica (Mart.) Mart.,tree,confirmed,916,NA,45.83,widespread,Not endemic,394,272,,,,,,yes,iNat,3,,,4
Buddleja stachyoides,Scrophulariaceae,Buddleja stachyoides Cham. & Schltdl.,shrub,confirmed,693,cultivated,71.2,widespread,Not endemic,429,135,,,,ornamental,,yes,iNat,2,Argentine butterfly bush,,4
Annona nutans,Annonaceae,Annona nutans (R.E.Fr.) R.E.Fr.,shrub,new to AF,143,NA,6.45,occasional,Not in the AF,2,69,,,,,,yes,iNat,1,,,4
Croton urucurana,Euphorbiaceae,Croton urucurana Baill.,tree,confirmed,461,NA,40.21,widespread,Not endemic,167,182,,,,medicinal,,yes,iNat,1,,,4
Aspidosperma polyneuron,Apocynaceae,Aspidosperma polyneuron Mull.Arg.,tree,confirmed,248,NA,64.73,widespread,Not endemic,101,64,en_peligro,Endangered,,timber,yes,,,,,,4
Attalea funifera,Arecaceae,Attalea funifera Mart.,tree,confirmed,33,NA,100.0,pure_endemic,Endemic,23,0,,,,fibres,,,,,,,4
Butia catarinensis,Arecaceae,Butia catarinensis Noblick & Lorenzi,shrub,confirmed,4,NA,100.0,pure_endemic,Not endemic,4,0,,,,fibres | food,,,,,,,4
Butia eriospatha,Arecaceae,Butia eriospatha (Mart. ex Drude) Becc.,tree,confirmed,24,NA,100.0,pure_endemic,Endemic,13,0,,,,food,,,,,,,4
Calophyllum brasiliense,Calophyllaceae,Calophyllum brasiliense Cambess.,tree,confirmed,2462,NA,25.34,widespread,Not endemic,509,1275,en_peligro,,,fodder | lipids | medicinal | ornamental | timber,yes,,,,,,4
Cariniana estrellensis,Lecythidaceae,Cariniana estrellensis (Raddi) Kuntze,tree,confirmed,319,NA,49.86,widespread,Not endemic,154,113,en_peligro,,,timber,yes,,,,,,4
Cariniana legalis,Lecythidaceae,Cariniana legalis (Mart.) Kuntze,tree,confirmed,108,NA,89.55,near_endemic,Endemic,80,9,,,,timber,yes,,,,,,4
Copaifera trapezifolia,Fabaceae,Copaifera trapezifolia Hayne,tree,confirmed,122,NA,89.1,near_endemic,Endemic,94,7,,,,medicinal,,,,,,,4
Dimorphandra mollis,Fabaceae,Dimorphandra mollis Benth.,tree,new to AF,320,NA,3.95,occasional,Not in the AF,7,243,en_peligro,,,medicinal,,,,,,,4
Eugenia brasiliensis,Myrtaceae,Eugenia brasiliensis Lam.,tree,confirmed,251,cultivated,94.62,near_endemic,Endemic,209,11,,,,essential_oils | food | medicinal | ornamental,,,,,,,4
Gallesia integrifolia,Phytolaccaceae,Gallesia integrifolia (Spreng.) Harms,tree,confirmed,174,NA,100.0,pure_endemic,Not endemic,98,42,,,,timber,yes,,,,,,4
Geonoma gamiova,Arecaceae,Geonoma gamiova Barb.Rodr.,shrub,confirmed,43,NA,100.0,pure_endemic,Endemic,40,2,,,,fibres,,,,,,,4
Joannesia princeps,Euphorbiaceae,Joannesia princeps Vell.,tree,confirmed,84,NA,92.31,near_endemic,Not endemic,73,4,,,,timber,yes,,,,,,4
Miconia cinnamomifolia,Melastomataceae,Miconia cinnamomifolia (DC.) Naudin,tree,confirmed,354,NA,97.97,near_endemic,Endemic,325,4,,,,timber,yes,,,,,,4
Piptocarpha angustifolia,Asteraceae,Piptocarpha angustifolia Dusen ex Malme,tree,confirmed,80,NA,95.0,near_endemic,Endemic,55,2,,,,timber,yes,,,,,,4
Prunus ravenii,Rosaceae,Prunus ravenii Zardini & Basualdo,tree?,not in the BF.2020,6,NA,100.0,pure_endemic,NA,5,0,en_peligro,,,,,,,,,,4
Psidium cattleyanum,Myrtaceae,Psidium cattleyanum Sabine,tree,new to AF,718,NA,94.35,near_endemic,NA,615,28,,,,food,,,,,,,4
Rauvolfia sellowii,Apocynaceae,Rauvolfia sellowii Mull.Arg.,tree,confirmed,163,NA,96.76,near_endemic,Endemic,142,3,en_peligro,,,,,,,,,,4
Syagrus botryophora,Arecaceae,Syagrus botryophora (Mart.) Mart.,tree,confirmed,36,NA,100.0,pure_endemic,Endemic,23,0,,,,ornamental,,,,,,,4
Terminalia januariensis,Combretaceae,Terminalia januariensis DC.,tree,confirmed,52,NA,96.77,near_endemic,Endemic,37,1,,,,timber,yes,,,,,,4
Vernonanthura discolor,Asteraceae,Vernonanthura discolor (Spreng.) H.Rob.,tree,confirmed,302,NA,99.47,near_endemic,Not endemic,273,2,,,,timber,yes,,,,,,4
Virola bicuhyba,Myristicaceae,Virola bicuhyba (Schott ex Spreng.) Warb.,tree,confirmed,134,NA,96.69,near_endemic,Endemic,111,2,,,,timber,yes,,,,,,4
Virola gardneri,Myristicaceae,Virola gardneri (A.DC.) Warb.,tree,confirmed,84,NA,95.24,near_endemic,Endemic,70,3,,,,timber,yes,,,,,,4
Vochysia bifalcata,Vochysiaceae,Vochysia bifalcata Warm.,tree,confirmed,51,NA,100.0,pure_endemic,Endemic,40,0,,,,timber,yes,,,,,,4
Sebastiania brasiliensis,Euphorbiaceae,Sebastiania brasiliensis Spreng.,tree,confirmed,916,NA,40.16,widespread,Not endemic,363,319,,,,,,yes,GBIF,113,Blanquillo,,3
Piper amalago,Piperaceae,Piper amalago L.,tree,confirmed,2258,NA,47.92,widespread,Not endemic,730,874,,,,,,yes,GBIF,57,Anisillo,,3
Celtis brasiliensis,Cannabaceae,Celtis brasiliensis (Gardner) Planch.,tree,confirmed,250,NA,35.92,widespread,Not endemic,55,112,,,,,,yes,GBIF,39,,,3
Capsicum baccatum,Solanaceae,Capsicum baccatum L.,shrub,confirmed,166,NA,56.55,widespread,Not endemic,63,38,,,,,,yes,GBIF,35,ají,,3
Cupania vernalis,Sapindaceae,Cupania vernalis Cambess.,tree,confirmed,571,NA,61.84,widespread,Not endemic,279,150,,,,,,yes,GBIF,34,Camboatá colorado,,3
Seguieria aculeata,Phytolaccaceae,Seguieria aculeata Jacq.,tree,confirmed,207,NA,76.92,widespread,Not endemic,105,42,,,,,,yes,GBIF,34,,,3
Aloysia virgata,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,tree,confirmed,1908,NA,44.35,widespread,Not endemic,682,698,,,,,,yes,GBIF,30,Niño Rupá,,3
Tabernaemontana catharinensis,Apocynaceae,Tabernaemontana catharinensis A.DC.,tree,confirmed,1060,NA,58.51,widespread,Not endemic,531,285,,,,,,yes,GBIF|iNat,30,Palo víbora,,3
Pilocarpus pennatifolius,Rutaceae,Pilocarpus pennatifolius Lem.,tree,confirmed,457,NA,72.8,widespread,Not endemic,282,68,,,,,,yes,GBIF,29,Yaguarandí,,3
Pristimera celastroides,Celastraceae,Pristimera celastroides (Kunth) A.C.Sm.,tree,confirmed,498,NA,43.71,widespread,Not endemic,137,194,,,,,,yes,GBIF,28,Cancerina,,3
Acalypha communis,Euphorbiaceae,Acalypha communis Mull.Arg.,shrub,confirmed,442,NA,25.5,widespread,Not endemic,122,189,,,,,,yes,GBIF,25,akalyfa bežná,,3
Croton gracilipes,Euphorbiaceae,Croton gracilipes Baill.,tree,confirmed,276,NA,10.61,widespread,Not endemic,19,203,,,,,,yes,GBIF,25,,,3
Diospyros inconstans,Ebenaceae,Diospyros inconstans Jacq.,tree,confirmed,359,NA,45.9,widespread,Not endemic,137,122,,,,,,yes,GBIF,25,Granadillo,,3
Diatenopteryx sorbifolia,Sapindaceae,Diatenopteryx sorbifolia Radlk.,tree,confirmed,205,NA,74.0,widespread,Not endemic,133,27,,,,,,yes,GBIF,20,Maria Preta,,3
Aloysia gratissima,Verbenaceae,Aloysia gratissima (Gillies & Hook.) Tronc.,shrub,confirmed,368,NA,16.13,widespread,Not endemic,50,234,,,,,,yes,GBIF|iNat,19,Cedrón de monte,,3
Celtis iguanaea,Cannabaceae,Celtis iguanaea (Jacq.) Sarg.,tree,confirmed,1201,NA,54.75,widespread,Not endemic,301,562,,,,,,yes,GBIF,19,Tala gateador,,3
Luehea candicans,Malvaceae,Luehea candicans Mart. & Zucc.,tree,confirmed,306,NA,41.96,widespread,Not endemic,86,121,,,,,,yes,GBIF|iNat,19,Açoita-cavalo,,3
Myrsine umbellata,Primulaceae,Myrsine umbellata Mart.,tree,confirmed,1499,NA,74.96,widespread,Not endemic,893,259,,,,,,yes,GBIF,19,Capororoca,,3
Baccharis linearifolia,Asteraceae,Baccharis linearifolia (Lam.) Pers.,shrub,confirmed,1196,NA,34.68,widespread,Not endemic,251,440,,,,,,yes,GBIF,18,,,3
Pombalia bigibbosa,Violaceae,Pombalia bigibbosa (A.St.Hil.) Paula-Souza,shrub,confirmed,237,NA,72.52,widespread,Not endemic,156,38,,,,,,yes,GBIF,18,,,3
Zanthoxylum fagara,Rutaceae,Zanthoxylum fagara (L.) Sarg.,tree,confirmed,867,NA,38.71,widespread,Not endemic,195,390,,,,,,yes,GBIF,18,Sasafrás,,3
Acrocomia totai,,Acrocomia totai,,in AR list but not in AF checklist,0,,,,,,,,Endangered,,,,yes,GBIF|iNat,10,Macaúba,,3
Praecereus euchlorus,Cactaceae,Praecereus euchlorus (F.A.C.Weber) N.P.Taylor,shrub,confirmed,72,NA,28.12,widespread,Not endemic,11,24,,,,,,yes,iNat,5,,,3
Solanum viarum,Solanaceae,Solanum viarum Dunal,shrub,confirmed,321,NA,50.24,widespread,Not endemic,107,95,,,,,,yes,iNat,5,tropical soda-apple,,3
Allophylus edulis,Sapindaceae,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,tree,confirmed,1230,NA,71.13,widespread,Not endemic,669,273,,,,,,yes,iNat,3,cocum,,3
Solanum granulosoleprosum,Solanaceae,Solanum granulosoleprosum Dunal,tree,confirmed,764,NA,68.66,widespread,Not endemic,416,162,,,,,,yes,iNat,3,,,3
Cereus stenogonus,Cactaceae,Cereus stenogonus K.Schum.,shrub,new to AF,31,NA,28.0,widespread,Not in the AF,3,18,,,,,,yes,iNat,2,,,3
Abutilon grandifolium,Malvaceae,Abutilon grandifolium (Willd.) Sweet,shrub,confirmed,170,NA,4.26,occasional,Endemic,7,125,,,,,,yes,iNat,1,hairy abutilon,,3
Brasiliopuntia brasiliensis,Cactaceae,Brasiliopuntia brasiliensis (Willd.) A.Berger,tree,confirmed,172,NA,67.3,widespread,Not endemic,93,42,,,,,,yes,iNat,1,,,3
Cecropia pachystachya,Urticaceae,Cecropia pachystachya Trecul,tree,confirmed,938,NA,57.13,widespread,Not endemic,430,276,,,,,,yes,iNat,1,Pumpwood,,3
Cereus hildmannianus,Cactaceae,Cereus hildmannianus K.Schum.,tree,confirmed,40,NA,69.05,widespread,Not endemic,16,8,,,,,,yes,iNat,1,Andes organ pipe cactus,,3
Citharexylum montevidense,Verbenaceae,Citharexylum montevidense (Spreng.) Moldenke,tree,probable occurrence in the AF,36,,,,,,,,,,,,yes,iNat,1,,,3
Cordia ecalyculata,Boraginaceae,Cordia ecalyculata Vell.,tree,confirmed,356,NA,73.09,widespread,Endemic,227,41,,,,,,yes,iNat,1,,,3
Lithraea molleoides,Anacardiaceae,Lithraea molleoides (Vell.) Engl.,tree,confirmed,1726,NA,33.12,widespread,Not endemic,516,667,,,,,,yes,iNat,1,,,3
Pereskia nemorosa,Cactaceae,Pereskia nemorosa Rojas Acosta,tree,new to AF,32,NA,7.14,occasional,Not in the AF,1,14,,,,,,yes,iNat,1,,,3
Petrea volubilis,Verbenaceae,Petrea volubilis L.,tree,confirmed,1510,cultivated,11.84,widespread,Not endemic,128,757,,,,,,yes,iNat,1,Queen's Wreath,,3
Plenckia populnea,Celastraceae,Plenckia populnea Reissek,tree,confirmed,361,NA,20.88,widespread,Not endemic,41,212,,,,,,yes,iNat,1,,,3
Solanum glaucophyllum,Solanaceae,Solanum glaucophyllum Desf.,shrub,new to AF,250,NA,8.46,occasional,Not in the AF,12,159,,,,,,yes,iNat,1,waxy-leaved nightshade,,3
Abarema barnebyana,Fabaceae,Abarema barnebyana Iganci & M.P.Morim,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,,3
Abarema brachystachya,Fabaceae,Abarema brachystachya (DC.) Barneby & J.W.Grimes,tree,confirmed,265,NA,95.41,near_endemic,Endemic,227,9,,,,,,,,,,,3
Abarema filamentosa,Fabaceae,Abarema filamentosa (Benth.) Pittier,tree,confirmed,268,NA,99.39,near_endemic,Endemic,246,1,,,,,,,,,,,3
Abarema langsdorffii,Fabaceae,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,tree,confirmed,242,NA,100.0,pure_endemic,Not endemic,223,0,,,,,,,,,,,3
Abarema limae,Fabaceae,Abarema limae Iganci & M.P.Morim,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,,3
Abarema turbinata,Fabaceae,Abarema turbinata (Benth.) Barneby & J.W.Grimes,tree,confirmed,47,NA,100.0,pure_endemic,Endemic,42,0,,,,,,,,,,,3
Acosmium lentiscifolium,Fabaceae,Acosmium lentiscifolium Schott,tree,confirmed,86,NA,97.71,near_endemic,Endemic,65,1,,,,,,,,,,,3
Adenocalymma subsessilifolium,Bignoniaceae,Adenocalymma subsessilifolium DC.,shrub,confirmed,26,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,,3
Aiouea acarodomatifera,Lauraceae,Aiouea acarodomatifera Kosterm.,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,44,0,,,,,,,,,,,3
Aiouea glaziovii,Lauraceae,Aiouea glaziovii (Mez) R.Rohde,tree,new to AF,48,NA,98.73,near_endemic,NA,45,1,,,,,,,,,,,3
Aiouea hirsuta,Lauraceae,Aiouea hirsuta Lorea-Hern.,tree,new to AF,8,NA,100.0,pure_endemic,NA,8,0,,,,,,,,,,,3
Aiouea pseudoglaziovii,Lauraceae,Aiouea pseudoglaziovii Lorea-Hern.,tree,new to AF,69,NA,100.0,pure_endemic,NA,62,0,,,,,,,,,,,3
Albizia burkartiana,Fabaceae,Albizia burkartiana Barneby & J.W.Grimes,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,,3
Albizia edwallii,Fabaceae,Albizia edwallii (Hoehne) Barneby & J.W.Grimes,tree,confirmed,83,NA,91.89,near_endemic,Endemic,62,3,,,,,,,,,,,3
Albizia pedicellaris,Fabaceae,Albizia pedicellaris (DC.) L.Rico,tree,confirmed,430,NA,66.98,widespread,Not endemic,223,112,,,,timber,yes,,,,,,3
Alibertia baiana,Rubiaceae,Alibertia baiana Delprete & C.H.Perss.,tree,confirmed,23,NA,97.78,near_endemic,Endemic,22,0,,,,,,,,,,,3
